metric,end,start,value,source,tag
WeightedAverageNumberOfDilutedSharesOutstanding,2024-12-31,2024-01-01,47.101,SEC 0001628280-26-012494 (2026-02-27); companyfacts,WeightedAverageNumberOfDilutedSharesOutstanding
CashAndCashEquivalentsAtCarryingValue,2024-12-31,,785.791,SEC 0001628280-26-012494 (2026-02-27); companyfacts,CashAndCashEquivalentsAtCarryingValue
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,2024-12-31,,91.854,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent
LongTermInvestments,2024-12-31,,98.292,SEC 0001628280-26-012494 (2026-02-27); companyfacts,LongTermInvestments
AccountsReceivableNetCurrent,2024-12-31,,128.923,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccountsReceivableNetCurrent
CapitalizedContractCostNetCurrent,2024-12-31,,80.162,SEC 0001628280-26-012494 (2026-02-27); companyfacts,CapitalizedContractCostNetCurrent
PrepaidExpenseAndOtherAssetsCurrent,2024-12-31,,14.831,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PrepaidExpenseAndOtherAssetsCurrent
IncomeTaxReceivable,2024-12-31,,0.027,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeTaxReceivable
PropertyPlantAndEquipmentNet,2024-12-31,,18.943,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PropertyPlantAndEquipmentNet
IntangibleAssetsNetExcludingGoodwill,2024-12-31,,19.899,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IntangibleAssetsNetExcludingGoodwill
OperatingLeaseRightOfUseAsset,2024-12-31,,47.495,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingLeaseRightOfUseAsset
Goodwill,2024-12-31,,10.538,SEC 0001628280-26-012494 (2026-02-27); companyfacts,Goodwill
RestrictedCashNoncurrent,2024-12-31,,2.735,SEC 0001628280-26-012494 (2026-02-27); companyfacts,RestrictedCashNoncurrent
DeferredIncomeTaxAssetsNet,2024-12-31,,0.675,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DeferredIncomeTaxAssetsNet
OtherAssetsNoncurrent,2024-12-31,,1.563,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OtherAssetsNoncurrent
Assets,2024-12-31,,1301.728,SEC 0001628280-26-012494 (2026-02-27); companyfacts,Assets
AccountsPayableCurrent,2024-12-31,,6.381,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccountsPayableCurrent
AccruedLiabilitiesCurrent,2024-12-31,,36.375,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccruedLiabilitiesCurrent
ContractWithCustomerLiabilityCurrent,2024-12-31,,372.884,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ContractWithCustomerLiabilityCurrent
AccruedIncomeTaxesCurrent,2024-12-31,,6.591,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccruedIncomeTaxesCurrent
OperatingLeaseLiabilityNoncurrent,2024-12-31,,54.656,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingLeaseLiabilityNoncurrent
DeferredIncomeTaxLiabilitiesNet,2024-12-31,,0.291,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DeferredIncomeTaxLiabilitiesNet
Liabilities,2024-12-31,,477.178,SEC 0001628280-26-012494 (2026-02-27); companyfacts,Liabilities
StockholdersEquity,2024-12-31,,824.55,SEC 0001628280-26-012494 (2026-02-27); companyfacts,StockholdersEquity
RevenueFromContractWithCustomerExcludingAssessedTax,2025-12-31,2025-01-01,1037.589,SEC 0001628280-26-012494 (2026-02-27); companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax
CostOfRevenue,2025-12-31,2025-01-01,288.132,SEC 0001628280-26-012494 (2026-02-27); companyfacts,CostOfRevenue
GrossProfit,2025-12-31,2025-01-01,749.457,SEC 0001628280-26-012494 (2026-02-27); companyfacts,GrossProfit
ResearchAndDevelopmentExpense,2025-12-31,2025-01-01,306.323,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ResearchAndDevelopmentExpense
SellingAndMarketingExpense,2025-12-31,2025-01-01,125.677,SEC 0001628280-26-012494 (2026-02-27); companyfacts,SellingAndMarketingExpense
GeneralAndAdministrativeExpense,2025-12-31,2025-01-01,181.887,SEC 0001628280-26-012494 (2026-02-27); companyfacts,GeneralAndAdministrativeExpense
OperatingExpenses,2025-12-31,2025-01-01,613.887,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingExpenses
OperatingIncomeLoss,2025-12-31,2025-01-01,135.57,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingIncomeLoss
InterestIncomeOperating,2025-12-31,2025-01-01,45.231,SEC 0001628280-26-012494 (2026-02-27); companyfacts,InterestIncomeOperating
NonoperatingIncomeExpense,2025-12-31,2025-01-01,1.609,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NonoperatingIncomeExpense
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2025-12-31,2025-01-01,182.41,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
IncomeTaxExpenseBenefit,2025-12-31,2025-01-01,-231.655,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeTaxExpenseBenefit
NetIncomeLoss,2025-12-31,2025-01-01,414.065,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetIncomeLoss
DepreciationDepletionAndAmortization,2025-12-31,2025-01-01,14.391,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DepreciationDepletionAndAmortization
ShareBasedCompensation,2025-12-31,2025-01-01,137.437,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ShareBasedCompensation
PaymentsToAcquirePropertyPlantAndEquipment,2025-12-31,2025-01-01,18.096,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsToAcquirePropertyPlantAndEquipment
capex_software,2025-12-31,2025-01-01,9.303,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm; cash-flow statement p86; software AND acquired intangibles,
NetCashProvidedByUsedInOperatingActivities,2025-12-31,2025-01-01,387.823,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInOperatingActivities
NetCashProvidedByUsedInInvestingActivities,2025-12-31,2025-01-01,-107.678,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInInvestingActivities
NetCashProvidedByUsedInFinancingActivities,2025-12-31,2025-01-01,-29.547,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInFinancingActivities
ProceedsFromStockOptionsExercised,2025-12-31,2025-01-01,12.57,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ProceedsFromStockOptionsExercised
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2025-12-31,2025-01-01,41.617,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation
PaymentsToAcquireInvestments,2025-12-31,2025-01-01,162.926,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsToAcquireInvestments
ProceedsFromSaleMaturityAndCollectionsOfInvestments,2025-12-31,2025-01-01,115.747,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ProceedsFromSaleMaturityAndCollectionsOfInvestments
IncreaseDecreaseInContractWithCustomerLiability,2025-12-31,2025-01-01,123.321,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInContractWithCustomerLiability
IncreaseDecreaseInAccountsReceivable,2025-12-31,2025-01-01,33.904,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccountsReceivable
IncreaseDecreaseInAccountsPayable,2025-12-31,2025-01-01,1.617,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccountsPayable
IncreaseDecreaseInAccruedLiabilities,2025-12-31,2025-01-01,0.255,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccruedLiabilities
WeightedAverageNumberOfDilutedSharesOutstanding,2025-12-31,2025-01-01,48.308,SEC 0001628280-26-012494 (2026-02-27); companyfacts,WeightedAverageNumberOfDilutedSharesOutstanding
CashAndCashEquivalentsAtCarryingValue,2025-12-31,,1036.389,SEC 0001628280-26-012494 (2026-02-27); companyfacts,CashAndCashEquivalentsAtCarryingValue
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,2025-12-31,,104.078,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent
LongTermInvestments,2025-12-31,,135.098,SEC 0001628280-26-012494 (2026-02-27); companyfacts,LongTermInvestments
AccountsReceivableNetCurrent,2025-12-31,,162.827,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccountsReceivableNetCurrent
CapitalizedContractCostNetCurrent,2025-12-31,,102.663,SEC 0001628280-26-012494 (2026-02-27); companyfacts,CapitalizedContractCostNetCurrent
PrepaidExpenseAndOtherAssetsCurrent,2025-12-31,,16.582,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PrepaidExpenseAndOtherAssetsCurrent
IncomeTaxReceivable,2025-12-31,,14.067,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeTaxReceivable
PropertyPlantAndEquipmentNet,2025-12-31,,36.297,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PropertyPlantAndEquipmentNet
IntangibleAssetsNetExcludingGoodwill,2025-12-31,,28.309,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IntangibleAssetsNetExcludingGoodwill
OperatingLeaseRightOfUseAsset,2025-12-31,,80.38,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingLeaseRightOfUseAsset
Goodwill,2025-12-31,,35.335,SEC 0001628280-26-012494 (2026-02-27); companyfacts,Goodwill
RestrictedCashNoncurrent,2025-12-31,,2.735,SEC 0001628280-26-012494 (2026-02-27); companyfacts,RestrictedCashNoncurrent
DeferredIncomeTaxAssetsNet,2025-12-31,,227.339,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DeferredIncomeTaxAssetsNet
OtherAssetsNoncurrent,2025-12-31,,10.083,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OtherAssetsNoncurrent
Assets,2025-12-31,,1992.182,SEC 0001628280-26-012494 (2026-02-27); companyfacts,Assets
AccountsPayableCurrent,2025-12-31,,7.998,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccountsPayableCurrent
AccruedLiabilitiesCurrent,2025-12-31,,45.688,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccruedLiabilitiesCurrent
ContractWithCustomerLiabilityCurrent,2025-12-31,,496.205,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ContractWithCustomerLiabilityCurrent
AccruedIncomeTaxesCurrent,2025-12-31,,1.257,SEC 0001628280-26-012494 (2026-02-27); companyfacts,AccruedIncomeTaxesCurrent
OperatingLeaseLiabilityNoncurrent,2025-12-31,,93.779,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingLeaseLiabilityNoncurrent
DeferredIncomeTaxLiabilitiesNet,2025-12-31,,0.249,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DeferredIncomeTaxLiabilitiesNet
Liabilities,2025-12-31,,645.176,SEC 0001628280-26-012494 (2026-02-27); companyfacts,Liabilities
StockholdersEquity,2025-12-31,,1347.006,SEC 0001628280-26-012494 (2026-02-27); companyfacts,StockholdersEquity
RevenueFromContractWithCustomerExcludingAssessedTax,2026-06-30,2026-01-01,590.421,SEC 0001628280-26-053603 (2026-08-06); companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax
CostOfRevenue,2026-06-30,2026-01-01,160.585,SEC 0001628280-26-053603 (2026-08-06); companyfacts,CostOfRevenue
GrossProfit,2026-06-30,2026-01-01,429.836,SEC 0001628280-26-053603 (2026-08-06); companyfacts,GrossProfit
ResearchAndDevelopmentExpense,2026-06-30,2026-01-01,175.169,SEC 0001628280-26-053603 (2026-08-06); companyfacts,ResearchAndDevelopmentExpense
SellingAndMarketingExpense,2026-06-30,2026-01-01,79.256,SEC 0001628280-26-053603 (2026-08-06); companyfacts,SellingAndMarketingExpense
GeneralAndAdministrativeExpense,2026-06-30,2026-01-01,96.939,SEC 0001628280-26-053603 (2026-08-06); companyfacts,GeneralAndAdministrativeExpense
OperatingExpenses,2026-06-30,2026-01-01,351.364,SEC 0001628280-26-053603 (2026-08-06); companyfacts,OperatingExpenses
OperatingIncomeLoss,2026-06-30,2026-01-01,78.472,SEC 0001628280-26-053603 (2026-08-06); companyfacts,OperatingIncomeLoss
InterestIncomeOperating,2026-06-30,2026-01-01,23.642,SEC 0001628280-26-053603 (2026-08-06); companyfacts,InterestIncomeOperating
NonoperatingIncomeExpense,2026-06-30,2026-01-01,-1.196,SEC 0001628280-26-053603 (2026-08-06); companyfacts,NonoperatingIncomeExpense
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2026-06-30,2026-01-01,100.918,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
IncomeTaxExpenseBenefit,2026-06-30,2026-01-01,24.3,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IncomeTaxExpenseBenefit
NetIncomeLoss,2026-06-30,2026-01-01,76.618,SEC 0001628280-26-053603 (2026-08-06); companyfacts,NetIncomeLoss
DepreciationDepletionAndAmortization,2026-06-30,2026-01-01,8.438,SEC 0001628280-26-053603 (2026-08-06); companyfacts,DepreciationDepletionAndAmortization
ShareBasedCompensation,2026-06-30,2026-01-01,72.857,SEC 0001628280-26-053603 (2026-08-06); companyfacts,ShareBasedCompensation
PaymentsToAcquirePropertyPlantAndEquipment,2026-06-30,2026-01-01,7.028,SEC 0001628280-26-053603 (2026-08-06); companyfacts,PaymentsToAcquirePropertyPlantAndEquipment
PaymentsForSoftware,2026-06-30,2026-01-01,5.587,SEC 0001628280-26-053603 (2026-08-06); companyfacts,PaymentsForSoftware
NetCashProvidedByUsedInOperatingActivities,2026-06-30,2026-01-01,239.031,SEC 0001628280-26-053603 (2026-08-06); companyfacts,NetCashProvidedByUsedInOperatingActivities
NetCashProvidedByUsedInInvestingActivities,2026-06-30,2026-01-01,-8.469,SEC 0001628280-26-053603 (2026-08-06); companyfacts,NetCashProvidedByUsedInInvestingActivities
NetCashProvidedByUsedInFinancingActivities,2026-06-30,2026-01-01,-86.064,SEC 0001628280-26-053603 (2026-08-06); companyfacts,NetCashProvidedByUsedInFinancingActivities
ProceedsFromStockOptionsExercised,2026-06-30,2026-01-01,2.338,SEC 0001628280-26-053603 (2026-08-06); companyfacts,ProceedsFromStockOptionsExercised
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2026-06-30,2026-01-01,18.799,SEC 0001628280-26-053603 (2026-08-06); companyfacts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation
